"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Nolan Arenado","Rockies","154","673","593","174","38","4","38","100","113","69","117","2","2",".294",".367",".562",".929",".388","7.6","9777"
"Jose Ramirez","Indians","153","674","577","162","40","4","32","102","99","85","77","26","7",".281",".376",".532",".907",".383","3.9","13510"
"Alex Bregman","Astros","151","666","568","161","41","3","28","101","97","84","87","11","4",".284",".382",".513",".895",".382","13.3","17678"
"Kris Bryant","Cubs","147","648","549","154","34","3","27","96","86","77","142","5","3",".281",".383",".506",".889",".379","33.3","15429"
"Justin Turner","Dodgers","131","558","483","145","33","1","20","76","77","56","73","4","1",".300",".385",".501",".887",".379","110.2","5235"
"Anthony Rendon","Nationals","145","628","546","161","40","2","25","89","93","67","90","4","2",".295",".375",".512",".886",".376","43.9","12861"
"Josh Donaldson","Braves","123","538","455","120","25","1","26","78","76","75","115","3","1",".264",".370",".499",".869",".372","101.9","5038"
"Matt Carpenter","Cardinals","145","646","536","137","34","2","28","99","78","97","143","4","2",".256",".375",".486",".860",".369","73.3","8090"
"Manny Machado","Padres","154","673","603","172","33","3","33","89","99","61","107","11","3",".285",".349",".515",".864",".365","16.9","11493"
"Eugenio Suarez","Reds","149","632","548","147","27","2","30","83","96","68","146","3","2",".267",".354",".489",".843",".361","55.0","12552"
"Nicholas Castellanos","Tigers","153","659","599","170","39","5","27","84","92","49","145","3","2",".284",".342",".499",".841",".358","94.0","11737"
"Joey Gallo","Rangers","145","591","506","109","23","2","40","85","95","78","207","5","3",".215",".325",".508",".834",".354","103.8","14128"
"Travis Shaw","Brewers","143","599","521","133","28","1","29","77","90","68","122","6","2",".256",".344",".481",".825",".351","98.8","11982"
"Miguel Andujar","Yankees","144","592","553","160","37","2","24","78","87","29","92","3","2",".290",".329",".493",".822",".350","80.3","15878"
"Matt Chapman","Athletics","146","627","556","144","35","5","26","90","80","61","157","2","2",".259",".337",".481",".817",".350","112.3","16505"
"Jung Ho Kang","Pirates","79","289","259","68","14","1","12","33","41","23","60","2","1",".261",".332",".458",".790",".340","513.9","17182"
"Mike Moustakas","Brewers","142","595","540","140","28","1","29","71","88","46","99","3","1",".259",".320",".478",".798",".338","148.5","4892"
"Jurickson Profar","Athletics","138","580","507","131","29","5","19","76","69","53","89","11","2",".258",".336",".445",".781",".337","125.9","10815"
"Ryan McMahon","Rockies","107","388","352","93","22","3","13","45","49","32","102","4","2",".264",".329",".451",".780",".336","463.6","15112"
"Rafael Devers","Red Sox","138","564","516","135","31","1","24","71","78","44","130","5","3",".261",".319",".468",".787",".335","150.2","17350"
"Yandy Diaz","Rays","113","446","387","108","19","2","7","53","45","53","85","3","1",".278",".366",".388",".754",".333","475.5","16578"
"Eduardo Escobar","Diamondbacks","142","602","543","143","34","5","21","72","77","47","119","3","3",".263",".324",".459",".783",".333","182.8","6153"
"Miguel Sano","Twins","120","508","448","105","22","1","26","66","74","55","180","0","0",".235",".321",".461",".782",".332","211.5","12164"
"Jedd Gyorko","Cardinals","97","325","287","74","13","1","12","39","41","32","68","2","1",".257",".333",".435",".768",".332","577.9","10816"
"Jake Lamb","Diamondbacks","123","515","446","108","24","3","20","68","72","59","133","3","2",".243",".334",".444",".778",".330","272.9","13329"
"Johan Camargo","Braves","111","429","388","104","22","2","13","50","53","34","87","2","1",".268",".331",".431",".762",".328","406.3","14950"
"Wilmer Flores","Diamondbacks","118","466","425","115","25","1","17","51","61","29","57","1","1",".269",".318",".451",".769",".328","411.5","5827"
"Brian Anderson","Marlins","147","622","551","146","30","3","14","75","63","57","129","3","3",".264",".342",".404",".746",".327","302.5","18289"
"Maikel Franco","Phillies","137","539","497","129","25","1","24","61","76","36","78","1","0",".259",".310",".458",".768",".326","316.1","12179"
