"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"J.T. Realmuto","Phillies","134","558","507","140","32","4","25","76","84","38","115","9","5","2",".276",".335",".503",".838",".356","1.5","-0.1","4.7","50.0","11739"
"Yasmani Grandal","Brewers","128","475","403","96","19","1","23","55","69","68","122","2","1","2",".238",".349",".462",".811",".351","1.8","-0.9","3.6","129.6","11368"
"Gary Sanchez","Yankees","110","467","415","102","21","0","28","68","85","44","121","5","3","1",".246",".323",".499",".822",".350","-5.5","-0.1","3.1","57.7","11442"
"Buster Posey","Giants","115","479","423","122","24","1","8","53","53","48","56","4","4","1",".288",".363",".407",".770",".333","6.8","0.1","3.8","145.8","9166"
"Willson Contreras","Cubs","134","526","463","118","26","3","14","56","64","51","117","9","5","3",".255",".339",".415",".754",".329","-1.3","-0.5","2.9","139.6","11609"
"Willians Astudillo","Twins","102","385","364","102","18","1","15","40","49","9","18","7","4","4",".280",".307",".459",".766",".326","3.3","-1.0","2.4","246.1","15608"
"Francisco Cervelli","Pirates","98","379","321","81","13","2","7","38","42","44","80","10","2","3",".252",".357",".371",".728",".324","-3.3","-1.1","1.7","267.7","5275"
"Chris Iannetta","Rockies","91","311","264","59","13","0","10","30","34","40","81","4","0","0",".223",".332",".386",".719",".316","-3.4","-0.2","0.5","431.8","8267"
"Danny Jansen","Blue Jays","111","438","382","93","22","1","10","51","47","40","75","12","4","1",".243",".332",".385",".717",".316","-2.0","0.1","2.0","189.4","16535"
"Brett Nicholas","Rockies","109","436","404","107","24","1","12","50","57","26","88","3","1","2",".265",".313",".418",".731",".315","-1.6","-0.9","1.0","999.0","11192"
"Kurt Suzuki","Nationals","95","350","316","83","18","0","9","36","49","19","43","10","0","0",".263",".321",".405",".726",".315","-1.1","-0.2","1.4","335.8","8259"
"Salvador Perez","Royals","136","544","513","130","26","1","24","55","77","18","104","9","1","1",".253",".289",".448",".737",".313","5.8","-0.5","3.1","130.1","7304"
"Victor Caratini","Cubs","112","401","358","92","21","2","8","44","43","33","84","5","0","0",".257",".325",".394",".719",".313","-5.7","-0.2","1.2","586.5","14968"
"Austin Barnes","Dodgers","102","306","262","63","13","1","5","38","30","37","65","5","7","2",".240",".344",".355",".699",".311","1.0","0.4","1.6","361.4","12158"
"Alex Avila","Diamondbacks","82","266","220","45","8","0","8","22","26","44","98","1","0","0",".205",".338",".350",".688",".310","-0.6","-0.2","1.0","597.1","7476"
"Russell Martin","Dodgers","94","371","314","67","11","0","12","44","40","48","92","7","1","3",".213",".329",".363",".692",".310","1.3","-1.3","1.8","522.4","4616"
"Tyler Flowers","Braves","87","314","273","64","12","0","8","28","35","28","84","11","0","0",".234",".328",".366",".694",".309","-1.4","-0.2","1.1","450.0","9134"
"Tucker Barnhart","Reds","130","471","415","105","22","2","9","40","47","48","87","2","1","2",".253",".331",".381",".712",".309","6.6","-0.9","2.4","271.3","10200"
"Wilson Ramos","Mets","112","424","394","102","18","0","15","38","63","26","78","0","0","0",".259",".302",".419",".721",".308","-1.9","-0.2","1.8","134.0","1433"
"Omar Narvaez","Mariners","94","328","290","74","11","1","6","30","24","34","58","1","0","1",".255",".334",".362",".696",".308","-6.4","-0.6","0.9","294.3","13338"
"Carson Kelly","Diamondbacks","108","395","349","86","18","1","8","44","39","39","66","4","0","1",".246",".328",".372",".701",".308","2.8","-0.7","1.8","469.5","13620"
"Stephen Vogt","Giants","116","413","373","92","20","2","12","40","47","34","75","2","0","1",".247",".310",".408",".717",".308","-8.1","-0.6","0.9","999.0","5000"
"Kevin Plawecki","Indians","93","339","299","73","15","1","8","35","41","29","71","7","0","1",".244",".322",".381",".704",".306","-0.8","-0.6","1.1","566.4","13807"
"Yadier Molina","Cardinals","122","487","449","119","22","1","12","46","66","27","65","5","4","3",".265",".310",".399",".709",".306","4.9","-0.7","2.5","146.9","7007"
"Brian McCann","Braves","89","340","298","69","9","1","11","37","45","32","63","7","0","1",".232",".318",".379",".697",".306","-3.1","-0.6","0.9","491.9","4810"
"Robinson Chirinos","Astros","95","340","292","59","11","1","13","37","44","33","116","12","1","0",".202",".307",".380",".687",".304","0.2","0.0","1.6","243.1","3142"
"Keibert Ruiz","Dodgers","107","438","407","107","19","1","10","47","45","22","57","6","0","1",".263",".308",".388",".696",".302","3.3","-0.7","2.1","595.4","sa872528"
"Tom Murphy","Rockies","94","349","325","73","20","3","14","40","50","20","125","3","3","2",".225",".275",".434",".709",".302","-3.2","-0.4","0.2","576.4","13499"
"Curt Casali","Reds","87","297","266","63","12","0","9","30","33","25","66","3","0","1",".237",".307",".383",".691",".301","-4.3","-0.6","0.5","594.3","12510"
"Hector Sanchez","Tigers","55","164","152","36","8","0","6","18","23","10","38","1","0","0",".237",".287",".408",".694",".300","-3.4","-0.1","0.3","999.0","10289"
"Ian Rice","Cubs","95","359","306","64","13","0","10","41","34","46","109","5","1","1",".209",".320",".350",".670",".299","-7.9","-0.4","0.4","999.0","sa658968"
"Francisco Mejia","Padres","131","519","477","119","25","2","14","55","50","28","100","6","1","1",".249",".296",".398",".694",".298","2.6","-0.5","2.1","262.3","16403"
"Travis d'Arnaud","Mets","94","345","316","76","14","1","11","35","42","23","64","3","0","0",".241",".297",".396",".692",".298","0.0","-0.2","1.4","584.1","7739"
"Matt McBride","Phillies","69","255","231","52","14","1","9","29","30","18","55","2","1","1",".225",".285",".411",".696",".298","-6.8","-0.3","0.1","999.0","9373"
"Jan Vazquez","","61","211","183","42","8","1","4","22","17","19","57","5","1","2",".230",".317",".350",".667",".298","-0.7","-0.7","0.1","999.0","sa501536"
"Anthony Recker","","71","267","238","51","13","1","9","29","32","23","82","4","1","1",".214",".292",".391",".683",".298","-5.9","-0.3","0.2","999.0","4063"
"Manny Pina","Brewers","95","334","304","75","16","1","8","37","36","21","64","5","2","0",".247",".303",".385",".688",".297","5.5","0.2","1.6","514.8","2829"
"Elias Diaz","Pirates","91","325","302","77","15","1","7","33","36","20","53","1","1","1",".255",".302",".381",".682",".297","1.1","-0.4","1.2","340.3","11680"
"Chance Sisco","Orioles","108","389","345","82","16","0","8","38","36","29","120","12","2","1",".238",".316",".354",".670",".297","-4.6","-0.2","0.8","542.3","15694"
"Yan Gomes","Nationals","103","391","361","86","19","0","13","42","49","20","102","7","0","0",".238",".289",".399",".688",".297","2.6","-0.2","1.4","215.1","9627"
"Wynston Sawyer","Twins","66","253","223","52","11","0","5","27","22","23","62","5","2","2",".233",".316",".350",".666",".296","-2.9","-0.6","0.5","999.0","sa548430"
"Mitch Garver","Twins","106","398","356","83","21","2","8","43","46","37","99","2","1","1",".233",".307",".371",".677",".296","-1.6","-0.4","1.1","425.7","15161"
"Max Stassi","Astros","84","278","247","52","11","0","10","32","33","25","87","5","1","0",".211",".295",".377",".671",".295","-0.3","0.1","1.1","566.9","10059"
"A.J. Ellis","","55","159","135","31","6","0","2","15","12","18","34","3","0","0",".230",".331",".319",".650",".295","-2.3","-0.1","0.3","999.0","5677"
"Mike Zunino","Rays","124","447","404","83","18","0","21","44","56","32","161","8","0","0",".205",".276",".406",".682",".295","-1.3","-0.2","1.5","244.8","13265"
"Austin Hedges","Padres","108","384","355","82","17","1","16","38","52","22","103","2","3","1",".231",".277",".420",".696",".295","6.2","0.0","1.9","324.1","12976"
"Andrew Knizner","Cardinals","95","383","351","91","16","1","6","40","35","22","59","6","0","1",".259",".312",".362",".673",".295","2.1","-0.6","1.4","591.6","sa857827"
"Daulton Varsho","Diamondbacks","85","363","334","78","14","2","11","39","39","24","87","4","11","4",".234",".292",".386",".678",".294","4.1","0.4","1.4","999.0","sa3002838"
"Austin Allen","Padres","119","498","460","109","22","1","16","54","56","30","125","5","0","2",".237",".289",".393",".683",".294","-7.4","-1.1","0.8","999.0","sa875025"
"Welington Castillo","White Sox","88","330","305","72","12","0","12","31","38","20","93","3","1","0",".236",".288",".393",".681",".294","-2.2","0.0","0.9","225.1","3256"
"Tim Federowicz","Indians","79","286","263","62","15","0","8","31","32","21","75","1","1","0",".236",".294",".384",".678",".294","-0.6","0.1","0.7","999.0","8609"
"Ryan Lavarnway","Yankees","85","314","280","63","14","0","8","32","33","27","74","5","0","1",".225",".304",".361",".664",".294","-1.1","-0.6","0.8","999.0","8879"
"Erik Kratz","Brewers","77","263","241","57","10","0","8","26","28","14","55","6","2","0",".237",".294",".378",".671",".294","2.8","0.3","1.0","999.0","4403"
"Miguel Montero","","78","253","218","48","7","0","7","24","29","30","64","3","1","0",".220",".320",".349",".669",".293","-4.6","0.0","0.2","999.0","3364"
"Andrew Knapp","Phillies","91","327","287","62","13","2","8","35","30","35","108","2","1","1",".216",".304",".359",".663",".290","-1.1","-0.4","0.7","600.3","14942"
"Deivi Grullon","Phillies","98","389","365","85","15","1","16","40","48","17","107","2","0","0",".233",".268",".411",".679",".289","-4.8","-0.2","0.5","999.0","sa739661"
"Devin Mesoraco","Mets","77","244","216","45","8","1","8","20","24","22","49","5","0","0",".208",".295",".366",".661",".289","-6.2","-0.1","0.1","597.5","5666"
